Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
30.07.2021 00:00:00,30.07.2021 00:15:00,10068,14008,15744,54365.20000000004,0,0,6.912000000000004,74439.20000000003,355362.4000000001,71369.6,0,9600,2112,30.07.2021
31.07.2021 00:00:00,31.07.2021 00:15:00,34828,14792,15744,38.39999999999993,0,0,6.912000000000004,-81095.2,388895.9999999998,49654.8,0,9600,2112,31.07.2021
01.08.2021 00:00:00,01.08.2021 00:15:00,81120,9536,15744,38.39999999999993,0,0,6.912000000000004,-55278.80000000002,435229.60000000003,81342.79999999999,0,9600,2112,01.08.2021
02.08.2021 00:00:00,02.08.2021 00:15:00,62152,12516,15744,38.39999999999993,0,0,6.912000000000004,74649.99999999999,505708.79999999993,91708.40000000002,0,9600,2112,02.08.2021
03.08.2021 00:00:00,03.08.2021 00:15:00,19112,11472,15744,38.39999999999993,0,0,6.912000000000004,127173.20000000007,472583.6000000001,116824.00000000001,0,9600,2112,03.08.2021
04.08.2021 00:00:00,04.08.2021 00:15:00,18672,10560,15744,38.39999999999993,0,0,6.912000000000004,148834.79999999996,431961.19999999995,131987.59999999998,0,9600,2112,04.08.2021
05.08.2021 00:00:00,05.08.2021 00:15:00,77520,5996,15744,38.39999999999993,0,0,6.912000000000004,43182.8,451727.99999999994,138642.8,0,9600,2112,05.08.2021
06.08.2021 00:00:00,06.08.2021 00:15:00,54624,13520,15748,38.39999999999993,0,0,6.912000000000004,30431.2,482135.20000000007,88664.40000000001,0,9600,2112,06.08.2021
07.08.2021 00:00:00,07.08.2021 00:15:00,88388,16332,15580,38.39999999999993,0,0,6.912000000000004,-17855.999999999996,477013.2000000001,58324.799999999996,0,9600,2112,07.08.2021
08.08.2021 00:00:00,08.08.2021 00:15:00,51748,7960,15412,38.39999999999993,0,0,6.912000000000004,-51180.39999999997,446652.8,68856.79999999997,0,9600,2112,08.08.2021
09.08.2021 00:00:00,09.08.2021 00:15:00,25388,15292,15360,38.39999999999993,0,0,6.912000000000004,123041.99999999999,454918.79999999993,111081.6,0,9600,2112,09.08.2021
10.08.2021 00:00:00,10.08.2021 00:15:00,20368,14992,15360,38.39999999999993,0,0,6.912000000000004,121654.40000000001,450482.8000000001,117464.39999999998,0,9600,2112,10.08.2021
11.08.2021 00:00:00,11.08.2021 00:15:00,41200,14476,15360,38.39999999999993,0,0,6.912000000000004,133903.59999999995,437425.2000000001,121305.60000000002,0,9600,2112,11.08.2021
12.08.2021 00:00:00,12.08.2021 00:15:00,8468,15096,15360,38.39999999999993,0,0,6.912000000000004,154084.8,409179.99999999994,125223.60000000002,0,9600,2112,12.08.2021
13.08.2021 00:00:00,13.08.2021 00:15:00,17416,14660,15364,38.39999999999993,0,0,6.912000000000004,121081.6,384386.40000000014,119706.00000000003,0,9600,2112,13.08.2021
14.08.2021 00:00:00,14.08.2021 00:15:00,6064,15212,15404,38.39999999999993,0,0,6.912000000000004,37304,356788.79999999993,73691.6,0,9600,2112,14.08.2021
15.08.2021 00:00:00,15.08.2021 00:15:00,21868,14536,15360,38.39999999999993,0,0,6.912000000000004,2959.1999999999994,329163.99999999994,57842.799999999974,0,9600,2112,15.08.2021
16.08.2021 00:00:00,16.08.2021 00:15:00,52044,10324,15360,10692.799999999994,0,0,6.912000000000004,28347.999999999996,344008.8,81656,0,9600,2112,16.08.2021
17.08.2021 00:00:00,17.08.2021 00:15:00,126924,13772,15272,38.39999999999993,0,0,6.912000000000004,-26903.59999999997,450150.8000000002,73193.19999999998,0,9600,2112,17.08.2021
18.08.2021 00:00:00,18.08.2021 00:15:00,48388,10200,15272,38.39999999999993,0,0,6.912000000000004,40542.4,421787.9999999999,84356.00000000001,0,9600,2112,18.08.2021
